season,dataset_split,score_status,pitch_type,actual_data_source,pitch_count,run_id,protocol_sha256
2024,validation,MISSING_FEATURES,SI,mlb_statcast,7,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2024,validation,MISSING_FEATURES,SL,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,CH,mlb_statcast,1551,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,CU,mlb_statcast,621,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,FC,mlb_statcast,1093,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,FF,mlb_statcast,4960,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,FS,mlb_statcast,281,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,KC,mlb_statcast,441,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,PO,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,SI,mlb_statcast,2498,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,SL,mlb_statcast,1854,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,ST,mlb_statcast,822,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,SV,mlb_statcast,36,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,CALIBRATION_PHASE,,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_HISTORY,,mlb_statcast,91,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,CH,mlb_statcast,158,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,CU,mlb_statcast,89,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FC,mlb_statcast,63,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FF,mlb_statcast,23,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,FS,mlb_statcast,32,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,PO,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SI,mlb_statcast,200,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,SL,mlb_statcast,149,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,INSUFFICIENT_PITCH_TYPE_OBSERVATIONS,ST,mlb_statcast,79,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,CH,mlb_statcast,9,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,FC,mlb_statcast,9,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,FF,mlb_statcast,25,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,KC,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,SI,mlb_statcast,2,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,SL,mlb_statcast,1,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
2025,test,MISSING_FEATURES,ST,mlb_statcast,16,08a3a0b1ccde4ff4a59b9a36690cd1a3,43822a20a6ac13b4360f1a9c82cb8dad93de281e7cef8eb4dfef3a8fd1195b68
